##NAMES=Allanite-(Ce)
##RRUFFID=R080044
##IDEAL CHEMISTRY=CaCeAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH)
##LOCALITY=Aquarius Range, Mohave County, Arizona, USA
##OWNER=RRUFF
##SOURCE=John Weber
##DESCRIPTION=Dark brown fragment from metamict sample R060418, after heating at T = 850 C for 18 hours
##STATUS=The identification of this mineral has been confirmed only by X-ray diffraction
##URL=rruff.info/R080044
714.4983, 1412.858
714.9804, 1409.217
715.4625, 1406.888
715.9446, 1405.363
716.4268, 1403.520
716.9089, 1401.212
717.3910, 1399.241
717.8731, 1397.912
718.3552, 1396.501
718.8373, 1395.017
719.3195, 1393.108
719.8016, 1390.026
720.2837, 1385.397
720.7658, 1381.096
721.2479, 1377.918
721.7300, 1375.582
722.2122, 1374.175
722.6943, 1373.361
723.1764, 1372.120
723.6585, 1370.008
724.1406, 1367.406
724.6227, 1364.848
725.1049, 1362.283
725.5870, 1360.121
726.0691, 1358.759
726.5512, 1357.162
727.0333, 1354.723
727.5154, 1352.047
727.9976, 1349.776
728.4797, 1347.963
728.9618, 1346.155
729.4439, 1343.872
729.9260, 1341.769
730.4081, 1340.878
730.8903, 1340.596
