##NAMES=Lavinskyite
##RRUFFID=R141115
##IDEAL CHEMISTRY=K(LiCu^2+^)Cu^2+^_6_(Si_4_O_11_)_2_(OH)_4_
##LOCALITY=Wessels mine, South Africa
##OWNER=RRUFF
##SOURCE=Jaco and Tania Janse van Nieuwenhuizen
##DESCRIPTION=Greenish blue or light blue platy crystals, associated with dark blue scottyite (R141116) and blue wesselsite (with cleavage)
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R141115
##MEASURED CHEMISTRY=(K_0.98_Sr_0.01_)_Σ=0.99_(Li_1.25_Cu_0.71_Na_0.08_)_Σ=2.04_Cu_6_(Si_4.03_O_11_)_2_(OH)_4_; (Lavinskyite is the dark grey material in the image, associated with light grey R141116 scottyite)
481.1100, 6.672405
481.5920, 5.677296
482.0742, 6.505482
482.5563, 7.292961
483.0384, 6.044250
483.5205, 2.848522
484.0026, 1.062946
484.4847, 1.283657
484.9669, 2.180222
485.4490, 3.881519
485.9311, 5.741325
486.4132, 6.656837
486.8953, 6.229519
487.3774, 4.960457
487.8596, 3.560555
488.3417, 1.563732
488.8238, 0.7518840
489.3059, 1.825012
489.7880, 3.208981
490.2701, 4.526276
490.7523, 5.529312
491.2344, 5.701767
491.7165, 4.601730
492.1986, 2.903282
492.6807, 2.726974
493.1628, 5.050968
493.6450, 6.187439
494.1271, 3.676758
494.6092, 0.9360660
495.0913, 0.5137480
495.5734, 2.384335
496.0555, 4.363407
496.5377, 4.591064
497.0198, 3.804832
497.5019, 4.191032
497.9840, 6.060818
498.4661, 7.859669
498.9482, 8.937790
499.4304, 9.299751
499.9125, 8.951447
500.3946, 7.605770
500.8767, 6.255356
501.3588, 5.265743
501.8409, 4.629887
502.3231, 4.361366
502.8052, 4.468674
503.2873, 4.807549
503.7694, 5.296650
504.2515, 5.946545
504.7336, 6.361103
505.2158, 6.662468
505.6979, 6.625031
506.1800, 5.881958
506.6621, 4.833851
507.1442, 4.045319
507.6263, 3.724739
508.1085, 3.772831
508.5906, 4.181332
509.0727, 5.341450
509.5548, 5.442593
510.0369, 2.876709
510.5190, 0.8606760
511.0012, 1.138893
511.4833, 2.796494
511.9654, 3.915802
512.4475, 3.434315
512.9296, 2.325554
513.4117, 2.646114
513.8939, 4.721783
514.3760, 5.637737
514.8581, 3.746304
515.3402, 1.509533
515.8223, 1.051052
516.3044, 2.168156
516.7866, 3.375874
517.2687, 4.329994
517.7508, 4.893887
518.2329, 4.626503
518.7150, 3.606014
519.1971, 2.846882
519.6793, 2.811302
520.1614, 3.342300
520.6435, 4.283894
521.1256, 6.109596
521.6077, 6.945518
522.0898, 5.485523
522.5720, 3.606812
523.0541, 3.030609
523.5362, 3.691608
524.0183, 4.484055
524.5004, 4.549976
524.9825, 4.023479
525.4647, 3.931393
525.9468, 4.716320
526.4289, 5.311821
526.9110, 5.642860
527.3931, 5.752525
527.8752, 5.634701
528.3574, 5.249100
528.8395, 4.809589
529.3216, 4.419922
529.8037, 4.018242
530.2858, 3.094872
530.7679, 1.143612
531.2501, 0.1466710
531.7322, 0.6580620
532.2143, 2.162189
532.6964, 3.005196
533.1785, 2.960197
533.6606, 2.451614
534.1428, 1.420288
534.6249, 7.4138999E-02
535.1070, 0.5915340
535.5891, 0.3410220
536.0712, 4.5795001E-02
536.5533, 0.7220120
537.0355, 2.037907
537.5176, 1.933971
537.9997, 1.560329
538.4818, 3.939995
538.9639, 2.832554
539.4460, 0.4222640
539.9282, 0.3858340
540.4103, 0.9056170
540.8924, 2.552380
541.3745, 2.667419
541.8566, 1.199402
542.3387, 0.3514400
542.8209, 0.1793330
543.3029, 0.4091640
543.7850, 1.636852
544.2672, 3.005527
544.7493, 3.250786
545.2314, 2.111813
545.7135, 1.017792
546.1956, 2.116272
546.6777, 5.099831
547.1599, 5.877697
547.6420, 2.952488
548.1241, 0.6927070
548.6062, 2.579605
549.0883, 6.383636
549.5704, 9.002151
550.0526, 9.647522
550.5347, 9.628162
551.0168, 9.689705
551.4989, 9.694790
551.9810, 9.219421
552.4631, 8.154011
552.9453, 7.149113
553.4274, 6.917362
553.9095, 7.463081
554.3916, 7.461712
554.8737, 5.939621
555.3558, 5.114639
555.8380, 6.273518
556.3201, 8.155548
556.8022, 9.339951
557.2843, 9.411026
557.7664, 8.597881
558.2485, 6.891365
558.7307, 4.230095
559.2128, 2.690590
559.6949, 2.962109
560.1770, 3.430351
560.6591, 3.493271
561.1412, 3.446568
561.6234, 3.710854
562.1055, 4.411930
562.5876, 5.094296
563.0697, 5.320744
563.5518, 5.202244
564.0339, 5.020626
564.5161, 4.739613
564.9982, 4.788895
565.4803, 5.648647
565.9624, 7.083549
566.4445, 8.019203
566.9266, 8.457619
567.4088, 8.404877
567.8909, 7.524410
568.3730, 6.306225
568.8551, 5.287003
569.3372, 4.609344
569.8193, 4.256218
570.3015, 4.180050
570.7836, 4.382927
571.2657, 5.209415
571.7478, 7.942154
572.2299, 9.540722
572.7120, 8.929012
573.1942, 7.411831
573.6763, 5.928905
574.1584, 4.761700
574.6405, 4.157135
575.1226, 4.689629
575.6047, 6.007614
576.0869, 6.668484
576.5690, 6.635418
577.0511, 6.054745
577.5332, 4.481525
578.0153, 2.698742
578.4974, 2.100327
578.9796, 3.047531
579.4617, 3.639038
579.9438, 2.476151
580.4259, 0.9880940
580.9080, 1.031033
581.3901, 2.537704
581.8723, 4.079418
582.3544, 4.778461
582.8365, 4.800892
583.3186, 4.725002
583.8007, 4.817253
584.2828, 4.366531
584.7650, 2.276989
585.2471, 0.5797230
585.7292, 1.096149
