##NAMES=Moorhouseite
##RRUFFID=R130745
##IDEAL CHEMISTRY=Co^2+^S^6+^O_4_&#183;6H_2_O
##LOCALITY=Bou Azer, Tazenakht, Ouarzazate Province, Souss-Massa-Draâ Region, Morocco
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Light-pinkish fine grains, associated with pink or dark pink spherocobaltite.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R130745
624.2505, 32.19086
624.7327, 32.08069
625.2148, 30.93457
625.6969, 28.28552
626.1790, 26.47424
626.6611, 25.71039
627.1432, 25.36218
627.6254, 24.92963
628.1075, 24.35645
628.5896, 23.37720
629.0717, 21.84888
629.5538, 20.19244
630.0359, 18.85248
630.5181, 17.83374
631.0002, 17.14374
631.4823, 17.32709
631.9644, 17.30005
632.4465, 15.89087
632.9286, 13.56732
633.4108, 11.82922
633.8929, 11.64838
634.3750, 11.68750
634.8571, 11.47864
635.3392, 10.99921
635.8214, 10.32086
636.3035, 9.299438
636.7856, 8.300232
637.2677, 7.562439
637.7498, 7.145630
638.2319, 6.567200
638.7141, 5.742126
639.1962, 5.108337
639.6783, 5.463623
640.1604, 6.460999
640.6425, 6.622620
641.1246, 5.480530
641.6068, 4.127563
642.0889, 3.426575
642.5710, 3.334717
643.0531, 3.789551
643.5352, 5.717163
644.0173, 7.189453
644.4995, 6.859802
644.9816, 5.413635
645.4637, 4.841858
645.9458, 6.445068
646.4279, 7.852600
646.9100, 8.484741
647.3922, 8.412354
647.8743, 8.180847
648.3564, 7.607666
648.8385, 7.341553
649.3206, 7.992249
649.8027, 9.408691
650.2849, 10.06842
650.7670, 9.907532
651.2491, 9.731628
651.7312, 10.47717
652.2133, 11.64313
652.6954, 12.34833
653.1776, 12.32025
653.6597, 12.27777
654.1418, 12.85168
654.6239, 13.59955
655.1060, 14.02991
655.5881, 13.63232
656.0703, 13.40155
656.5524, 13.61499
657.0345, 13.98016
657.5166, 13.94061
657.9987, 13.25494
658.4808, 12.89221
658.9630, 13.30640
659.4451, 14.11926
659.9272, 13.78009
660.4093, 12.21332
660.8914, 11.07904
661.3735, 11.95538
661.8557, 13.63483
662.3378, 13.83960
662.8199, 12.69098
