##NAMES=Montgomeryite
##RRUFFID=R140664
##IDEAL CHEMISTRY=Ca_4_MgAl_4_(PO_4_)_6_(OH)_4_&#183;12H_2_O
##LOCALITY=Foote Mineral Company mine, Kings Mountain, North Carolina, USA
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Radial aggregates of colorless, bladed to platy crystals
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R140664
609.7870, 26.05902
610.2692, 25.46442
610.7513, 24.15857
611.2334, 22.19922
611.7155, 20.44189
612.1976, 18.91162
612.6797, 17.63489
613.1619, 16.66425
613.6440, 16.10742
614.1261, 15.53937
614.6082, 15.07782
615.0903, 14.44189
615.5724, 13.33014
616.0546, 11.73254
616.5367, 9.857727
617.0188, 7.549316
617.5009, 5.535339
617.9830, 5.273804
618.4651, 6.132324
618.9473, 6.435425
619.4294, 5.284668
619.9115, 3.814636
620.3936, 2.912292
620.8757, 2.446655
621.3578, 2.211243
621.8400, 2.694519
622.3221, 2.905273
622.8042, 1.956726
623.2863, 0.1580810
623.7684, 1.118469
624.2505, 0.1110840
624.7327, 1.577576
625.2148, 2.371338
625.6969, 2.270508
626.1790, 2.315979
626.6611, 2.590271
627.1432, 2.870728
627.6254, 2.879089
628.1075, 2.623535
628.5896, 2.356384
629.0717, 2.064697
629.5538, 1.959167
630.0359, 2.345642
630.5181, 3.117554
631.0002, 4.075684
631.4823, 5.562073
631.9644, 6.887329
632.4465, 7.333801
632.9286, 7.005371
633.4108, 6.561035
633.8929, 5.984497
634.3750, 5.587585
634.8571, 5.463074
635.3392, 5.619629
635.8214, 6.178040
636.3035, 7.647400
636.7856, 8.921631
637.2677, 9.117676
637.7498, 7.947693
638.2319, 7.637451
638.7141, 8.405518
639.1962, 9.324585
639.6783, 9.335693
640.1604, 8.657471
640.6425, 8.110291
641.1246, 7.877808
641.6068, 7.811707
642.0889, 7.718323
642.5710, 7.538086
643.0531, 7.206421
643.5352, 6.536987
